"driver","starts","wins","top5","top10"
"Kyle Larson","36","10","20","26"
"Martin Truex, Jr.","36","4","13","20"
"Denny Hamlin","36","2","19","25"
"Chase Elliott","36","2","15","21"
"Kevin Harvick","36","0","10","24"
"Brad Keselowski","36","1","10","17"
"Ryan Blaney","36","3","11","20"
"Joey Logano","36","1","10","19"
"Kyle Busch","36","2","14","22"
"William Byron","36","1","12","20"
"Kurt Busch","36","1","6","14"
"Christopher Bell","36","1","7","16"
"Tyler Reddick","36","0","3","16"
"Alex Bowman","36","4","8","16"
"Aric Almirola","36","1","2","5"
"Michael McDowell","36","1","2","5"
"Austin Dillon","36","0","1","8"
"Matt DiBenedetto","36","0","3","9"
"Chris Buescher","36","0","1","8"
"Ross Chastain","36","0","3","8"
"Bubba Wallace","36","1","3","3"
"Ricky Stenhouse, Jr.","36","0","1","2"
"Chase Briscoe","36","0","0","3"
"Erik Jones","36","0","0","6"
"Daniel Suarez","36","0","1","4"
"Cole Custer","36","0","0","2"
"Ryan Preece","36","0","1","4"
"Ryan Newman","36","0","2","5"
"Corey LaJoie","35","0","0","1"
"Anthony Alfredo","36","0","0","1"
"Quin Houff","36","0","0","0"
"James Davison","20","0","0","0"
"Jamie McMurray","1","0","0","1"
"Scott Heckert","3","0","0","0"
"Joey Hand","1","0","0","0"
"Mike Marlar","1","0","0","0"
"Chris Windom","1","0","0","0"
"David Ragan","1","0","0","0"
"R.C. Enerson","1","0","0","0"
"Shane Golobic","1","0","0","0"
"Ryan Eversley","1","0","0","0"
"Derrike Cope","1","0","0","0"
"Josh Bilicki","36","0","0","1"
"Cody Ware","32","0","0","0"
"Justin Haley","31","0","0","2"
"B.J. McLeod","28","0","0","1"
"Garrett Smithley","27","0","0","0"
"Joey Gase","16","0","0","0"
"Timmy Hill","13","0","0","0"
"J.J. Yeley","8","0","0","0"
"Austin Cindric","7","0","0","1"
"David Starr","7","0","0","0"
"A.J. Allmendinger","5","1","2","3"
"Ty Dillon","4","0","0","0"
"Kaz Grala","3","0","0","1"
"Kyle Tilley","3","0","0","0"
"Josh Berry","2","0","0","0"
"Landon Cassill","2","0","0","0"
"Justin Allgaier","2","0","0","0"
"Chad Finchum","2","0","0","0"
"Parker Kligerman","1","0","0","0"
"Harrison Burton","1","0","0","0"
"Stewart Friesen","1","0","0","0"
"Ben Rhodes","1","0","0","0"
"Bayley Currey","1","0","0","0"
"Ryan Ellis","1","0","0","0"
"Matt Mills","1","0","0","0"
"Andy Lally","1","0","0","0"